fold,rat,frame,image_miou,iou_background,iou_head,iou_body,iou_tail,csv_path
4,Rat4,14,0.6954746416084102,0.9687122392369951,0.8589603419143226,0.8498104008667389,0.10441558441558442,data_full\Rat4\CSV\Thermal_14_CSV.csv
2,Rat2,29,0.696299625769243,0.9920608171366513,0.9296258471822486,0.8635118387580719,0.0,data_full\Rat2\CSV\Thermal_29_CSV.csv
1,Rat25,12,0.6970279487289697,0.9919637756586164,0.8560707885304659,0.9400772307267963,0.0,data_full\Rat25\CSV\Thermal_12_CSV.csv
1,Rat25,98,0.6980946015169662,0.9746132443369562,0.854364949130292,0.8189030825781562,0.1444971300224607,data_full\Rat25\CSV\Thermal_98_CSV.csv
4,Rat19,69,0.6995716766677612,0.9852710353213707,0.8883940042826552,0.924621667067019,0.0,data_full\Rat19\CSV\Thermal_69_CSV.csv
3,Rat22,108,0.7001231874465169,0.985923645762286,0.6454115521547372,0.8903483329189802,0.278809218950064,data_full\Rat22\CSV\Thermal_108_CSV.csv
1,Rat25,6,0.7007057520669797,0.9854954999942381,0.8714728429293753,0.9458546653443054,0.0,data_full\Rat25\CSV\Thermal_6_CSV.csv
2,Rat24,124,0.7008481113389278,0.8728210771414446,0.31488908694791046,0.8122294260206724,0.8034528552456839,data_full\Rat24\CSV\Thermal_124_CSV.csv
5,Rat20,10,0.7013793908082754,0.9919460222485987,0.8759411362080767,0.937630404776426,0.0,data_full\Rat20\CSV\Thermal_10_CSV.csv
1,Rat25,30,0.7032405781045414,0.9891305483847368,0.7984880699267659,0.9389484607402283,0.08639523336643495,data_full\Rat25\CSV\Thermal_30_CSV.csv
3,Rat18,90,0.7038251192404227,0.9890580948869497,0.8226102941176471,0.9595211284300361,0.04411095952705776,data_full\Rat18\CSV\Thermal_90_CSV.csv
4,Rat4,17,0.7039044131316021,0.972692438658771,0.8647771088412366,0.9238202965549462,0.05432780847145488,data_full\Rat4\CSV\Thermal_17_CSV.csv
1,Rat16,120,0.7042848794141072,0.9912484767918467,0.8764440963383591,0.9494469445262228,0.0,data_full\Rat16\CSV\Thermal_120_CSV.csv
5,Rat20,30,0.7048518253977741,0.9655311508473325,0.9228474987944921,0.931028651949272,0.0,data_full\Rat20\CSV\Thermal_30_CSV.csv
1,Rat25,104,0.7050705887663766,0.9793847492956456,0.9226346706661668,0.9182629351036941,0.0,data_full\Rat25\CSV\Thermal_104_CSV.csv
2,Rat24,35,0.7056963105594116,0.9420200266740055,0.005601867289096366,0.9431972945263125,0.9319660537482319,data_full\Rat24\CSV\Thermal_35_CSV.csv
5,Rat20,88,0.7069962944936146,0.9829876610035108,0.83998364199334,0.9096021460198442,0.09541172895776359,data_full\Rat20\CSV\Thermal_88_CSV.csv
1,Rat16,119,0.7072897235712144,0.9929414205882984,0.8872458410351202,0.9489716326614394,0.0,data_full\Rat16\CSV\Thermal_119_CSV.csv
5,Rat21,29,0.708195419188161,0.9867995202812597,0.8009004502251126,0.9517621470176215,0.09331955922865014,data_full\Rat21\CSV\Thermal_29_CSV.csv
4,Rat4,13,0.7088952078822978,0.9653693407466243,0.8571866380631321,0.9247936646697349,0.08823118804969984,data_full\Rat4\CSV\Thermal_13_CSV.csv
1,Rat25,105,0.709345946453632,0.9826260452395364,0.9278051413534849,0.9269525992215067,0.0,data_full\Rat25\CSV\Thermal_105_CSV.csv
4,Rat23,51,0.7096306516356814,0.983970341225058,0.9138923372079901,0.9108266435235409,0.029833284586136297,data_full\Rat23\CSV\Thermal_51_CSV.csv
4,Rat19,70,0.7098291647627294,0.9862618149833094,0.9035166816952209,0.949538162372387,0.0,data_full\Rat19\CSV\Thermal_70_CSV.csv
5,Rat21,28,0.710242394288621,0.9832951813022988,0.9082618315255517,0.9494125643266337,0.0,data_full\Rat21\CSV\Thermal_28_CSV.csv
